iter	RMSE
0	2614.788447
1	2550.084675
2	2494.161796
3	2440.598507
4	2376.336374
5	2323.101292
6	2265.728947
7	2212.906554
8	2157.069371
9	2117.036111
10	2077.593205
11	2042.713394
12	2002.785253
13	1954.357807
14	1921.684236
15	1884.653124
16	1852.318201
17	1822.96887
18	1786.382201
19	1755.49607
20	1722.251459
21	1687.943993
22	1655.506634
23	1616.04114
24	1591.542385
25	1560.111211
26	1530.078172
27	1501.25526
28	1474.082571
29	1451.300329
30	1422.784052
31	1397.731906
32	1375.106209
33	1353.227897
34	1328.430705
35	1311.44543
36	1295.695929
37	1275.106756
38	1253.204181
39	1232.383227
40	1213.12223
41	1195.616893
42	1174.749119
43	1156.735067
44	1138.666702
45	1124.818967
46	1105.076285
47	1091.314532
48	1073.977456
49	1057.791774
50	1043.227892
51	1028.973109
52	1014.790855
53	1004.666245
54	993.4537754
55	978.1593533
56	967.5532984
57	954.4750993
58	944.1388927
59	933.3745745
60	924.472619
61	913.2876332
62	901.9064115
63	891.8573883
64	881.2499478
65	874.8809312
66	863.9249623
67	854.4011289
68	845.7866246
69	837.8308279
70	828.775378
71	821.7913591
72	813.3887778
73	806.1539864
74	799.2155226
75	792.4820625
76	785.8415892
77	779.7595285
78	771.4437082
79	765.9321568
80	760.1961686
81	753.609675
82	746.8573762
83	741.4703911
84	735.9264696
85	730.0264414
86	724.4920124
87	719.4923406
88	715.4720666
89	710.4110976
90	704.5121546
91	699.711294
92	695.8215499
93	690.5342864
94	686.0750227
95	682.5093576
96	677.8003584
97	673.9822962
98	671.4664843
99	668.3179632
100	663.7525363
101	661.143969
102	657.7151636
103	654.0864571
104	651.2740789
105	647.7931083
106	644.6043539
107	640.6468355
108	637.475108
109	634.4494514
110	631.3847374
111	628.7362512
112	626.1893022
113	622.1007729
114	618.9288801
115	616.8012681
116	614.0489163
117	611.0891471
118	607.8909012
119	605.4714451
120	602.3652318
121	599.8903423
122	597.644637
123	594.9386599
124	592.3842266
125	589.2487659
126	586.7903969
127	584.5898039
128	582.4598582
129	580.479172
130	578.4007209
131	577.1770219
132	575.7354296
133	574.2344267
134	571.7363776
135	569.374148
136	567.0036527
137	565.1337505
138	563.1288648
139	561.242401
140	559.3621608
141	557.8693227
142	556.0356064
143	554.0262625
144	552.209625
145	550.1846122
146	548.2379407
147	546.0069526
148	544.756773
149	542.9985838
150	541.6200383
151	540.1990344
152	538.2343797
153	536.7779001
154	534.418105
155	533.4380248
156	531.4538082
157	529.510073
158	527.3155279
159	526.2082873
160	524.4365923
161	522.2963819
162	520.9694352
163	519.7744479
164	518.1072311
165	517.1861677
166	514.9703362
167	513.2532673
168	510.858295
169	509.1843497
170	506.4453129
171	504.5977031
172	502.9521338
173	501.6237895
174	500.3772027
175	498.8992963
176	497.4632497
177	495.6539694
178	493.3098542
179	491.5500464
180	489.7711205
181	488.4029479
182	486.6231669
183	484.7706295
184	483.2295861
185	481.5350891
186	479.4059646
187	477.4787441
188	475.3893981
189	473.8315513
190	471.8395203
191	470.4536777
192	468.8251952
193	467.3978246
194	465.3226727
195	463.8508251
196	462.2454754
197	461.094325
198	459.8456914
199	458.6320396
200	457.1086936
201	455.8297982
202	454.1809016
203	452.8454086
204	451.6870231
205	449.8358335
206	447.9602873
207	447.6473755
208	446.5122314
209	445.7854008
210	444.3321201
211	443.5652923
212	442.4202579
213	441.1220684
214	439.6864055
215	438.2989329
216	436.934404
217	435.6861849
218	434.1120445
219	432.250732
220	431.3894372
221	429.4354595
222	428.2956692
223	426.5209907
224	425.1358764
225	424.384335
226	423.3736434
227	421.5245164
228	420.4241263
229	419.5342372
230	419.0761888
231	417.4660184
232	416.089452
233	415.5613953
234	414.275525
235	412.5439206
236	412.3787709
237	410.8021059
238	409.9479891
239	408.5169073
240	408.2020849
241	406.7775992
242	405.7972215
243	404.5771431
244	402.924557
245	401.2513307
246	400.0502653
247	399.8869095
248	398.3090674
249	396.9862636
250	395.5692745
251	395.3003569
252	394.0563964
253	393.8789071
254	393.7183672
255	393.5984002
256	393.4782416
257	392.3394778
258	392.2231062
259	392.0888724
260	391.9396926
261	391.695173
262	389.8923847
263	388.6097617
